"period","percent_number","ticker","Keyword"
"2018-06-06 03:39:00","5561.42","BTC","|ticker| price"
"2018-06-06 03:39:00","0","BTC","|ticker| crash"
"2018-06-06 03:40:00","16882.9","BTC","|ticker|"
"2018-06-06 03:40:00","0","BTC","|ticker| invest"
"2018-06-06 03:40:00","519.473","BTC","buy |ticker|"
"2018-06-06 03:40:00","0","BTC","sell |ticker|"
"2018-06-06 03:40:00","5973.93","BTC","|ticker| price"
"2018-06-06 03:40:00","259.736","BTC","|ticker| crash"
"2018-06-06 03:41:00","17662.1","BTC","|ticker|"
"2018-06-06 03:41:00","0","BTC","|ticker| invest"
"2018-06-06 03:41:00","519.473","BTC","buy |ticker|"
"2018-06-06 03:41:00","0","BTC","sell |ticker|"
"2018-06-06 03:41:00","3896.04","BTC","|ticker| price"
"2018-06-06 03:41:00","0","BTC","|ticker| crash"
"2018-06-06 03:42:00","17402.3","BTC","|ticker|"
"2018-06-06 03:42:00","259.736","BTC","|ticker| invest"
"2018-06-06 03:42:00","0","BTC","buy |ticker|"
"2018-06-06 03:42:00","0","BTC","sell |ticker|"
"2018-06-06 03:42:00","5973.93","BTC","|ticker| price"
"2018-06-06 03:42:00","0","BTC","|ticker| crash"
"2018-06-06 03:43:00","24934.7","BTC","|ticker|"
"2018-06-06 03:43:00","0","BTC","|ticker| invest"
"2018-06-06 03:43:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:43:00","0","BTC","sell |ticker|"
"2018-06-06 03:43:00","6753.14","BTC","|ticker| price"
"2018-06-06 03:43:00","0","BTC","|ticker| crash"
"2018-06-06 03:44:00","18441.3","BTC","|ticker|"
"2018-06-06 03:44:00","0","BTC","|ticker| invest"
"2018-06-06 03:44:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:44:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:44:00","6233.67","BTC","|ticker| price"
"2018-06-06 03:44:00","0","BTC","|ticker| crash"
"2018-06-06 03:45:00","21817.8","BTC","|ticker|"
"2018-06-06 03:45:00","0","BTC","|ticker| invest"
"2018-06-06 03:45:00","519.473","BTC","buy |ticker|"
"2018-06-06 03:45:00","0","BTC","sell |ticker|"
"2018-06-06 03:45:00","6753.14","BTC","|ticker| price"
"2018-06-06 03:45:00","0","BTC","|ticker| crash"
"2018-06-06 03:46:00","19740","BTC","|ticker|"
"2018-06-06 03:46:00","259.736","BTC","|ticker| invest"
"2018-06-06 03:46:00","0","BTC","buy |ticker|"
"2018-06-06 03:46:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:46:00","5973.93","BTC","|ticker| price"
"2018-06-06 03:46:00","0","BTC","|ticker| crash"
"2018-06-06 03:47:00","22337.3","BTC","|ticker|"
"2018-06-06 03:47:00","0","BTC","|ticker| invest"
"2018-06-06 03:47:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:47:00","0","BTC","sell |ticker|"
"2018-06-06 03:47:00","6233.67","BTC","|ticker| price"
"2018-06-06 03:47:00","0","BTC","|ticker| crash"
"2018-06-06 03:48:00","22856.8","BTC","|ticker|"
"2018-06-06 03:48:00","259.736","BTC","|ticker| invest"
"2018-06-06 03:48:00","519.473","BTC","buy |ticker|"
"2018-06-06 03:48:00","0","BTC","sell |ticker|"
"2018-06-06 03:48:00","6753.14","BTC","|ticker| price"
"2018-06-06 03:48:00","0","BTC","|ticker| crash"
"2018-06-06 03:49:00","21817.8","BTC","|ticker|"
"2018-06-06 03:49:00","0","BTC","|ticker| invest"
"2018-06-06 03:49:00","1038.95","BTC","buy |ticker|"
"2018-06-06 03:49:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:49:00","6233.67","BTC","|ticker| price"
"2018-06-06 03:49:00","0","BTC","|ticker| crash"
"2018-06-06 03:50:00","18701","BTC","|ticker|"
"2018-06-06 03:50:00","0","BTC","|ticker| invest"
"2018-06-06 03:50:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:50:00","0","BTC","sell |ticker|"
"2018-06-06 03:50:00","4934.99","BTC","|ticker| price"
"2018-06-06 03:50:00","259.736","BTC","|ticker| crash"
"2018-06-06 03:51:00","16882.9","BTC","|ticker|"
"2018-06-06 03:51:00","0","BTC","|ticker| invest"
"2018-06-06 03:51:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:51:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:51:00","3896.04","BTC","|ticker| price"
"2018-06-06 03:51:00","0","BTC","|ticker| crash"
"2018-06-06 03:52:00","21038.6","BTC","|ticker|"
"2018-06-06 03:52:00","0","BTC","|ticker| invest"
"2018-06-06 03:52:00","0","BTC","buy |ticker|"
"2018-06-06 03:52:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:52:00","6233.67","BTC","|ticker| price"
"2018-06-06 03:52:00","0","BTC","|ticker| crash"
"2018-06-06 03:53:00","22856.8","BTC","|ticker|"
"2018-06-06 03:53:00","0","BTC","|ticker| invest"
"2018-06-06 03:53:00","519.473","BTC","buy |ticker|"
"2018-06-06 03:53:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:53:00","5973.93","BTC","|ticker| price"
"2018-06-06 03:53:00","0","BTC","|ticker| crash"
"2018-06-06 03:54:00","21298.4","BTC","|ticker|"
"2018-06-06 03:54:00","259.736","BTC","|ticker| invest"
"2018-06-06 03:54:00","779.209","BTC","buy |ticker|"
"2018-06-06 03:54:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:54:00","7272.62","BTC","|ticker| price"
"2018-06-06 03:54:00","0","BTC","|ticker| crash"
"2018-06-06 03:55:00","19220.5","BTC","|ticker|"
"2018-06-06 03:55:00","0","BTC","|ticker| invest"
"2018-06-06 03:55:00","0","BTC","buy |ticker|"
"2018-06-06 03:55:00","0","BTC","sell |ticker|"
"2018-06-06 03:55:00","6493.41","BTC","|ticker| price"
"2018-06-06 03:55:00","0","BTC","|ticker| crash"
"2018-06-06 03:56:00","21038.6","BTC","|ticker|"
"2018-06-06 03:56:00","0","BTC","|ticker| invest"
"2018-06-06 03:56:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:56:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:56:00","6493.41","BTC","|ticker| price"
"2018-06-06 03:56:00","0","BTC","|ticker| crash"
"2018-06-06 03:57:00","22856.8","BTC","|ticker|"
"2018-06-06 03:57:00","0","BTC","|ticker| invest"
"2018-06-06 03:57:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:57:00","0","BTC","sell |ticker|"
"2018-06-06 03:57:00","4934.99","BTC","|ticker| price"
"2018-06-06 03:57:00","259.736","BTC","|ticker| crash"
"2018-06-06 03:58:00","17921.8","BTC","|ticker|"
"2018-06-06 03:58:00","259.736","BTC","|ticker| invest"
"2018-06-06 03:58:00","779.209","BTC","buy |ticker|"
"2018-06-06 03:58:00","0","BTC","sell |ticker|"
"2018-06-06 03:58:00","4675.25","BTC","|ticker| price"
"2018-06-06 03:58:00","0","BTC","|ticker| crash"
"2018-06-06 03:59:00","18181.5","BTC","|ticker|"
"2018-06-06 03:59:00","0","BTC","|ticker| invest"
"2018-06-06 03:59:00","259.736","BTC","buy |ticker|"
"2018-06-06 03:59:00","259.736","BTC","sell |ticker|"
"2018-06-06 03:59:00","5454.46","BTC","|ticker| price"
"2018-06-06 03:59:00","0","BTC","|ticker| crash"
"2018-06-06 04:00:00","19999.7","BTC","|ticker|"
"2018-06-06 04:00:00","259.736","BTC","|ticker| invest"
"2018-06-06 04:00:00","779.209","BTC","buy |ticker|"
"2018-06-06 04:00:00","0","BTC","sell |ticker|"
"2018-06-06 04:00:00","5973.93","BTC","|ticker| price"
"2018-06-06 04:00:00","0","BTC","|ticker| crash"
"2018-06-06 04:01:00","19480.2","BTC","|ticker|"
"2018-06-06 04:01:00","259.736","BTC","|ticker| invest"
"2018-06-06 04:01:00","1038.95","BTC","buy |ticker|"
"2018-06-06 04:01:00","0","BTC","sell |ticker|"
"2018-06-06 04:01:00","3896.04","BTC","|ticker| price"
"2018-06-06 04:01:00","0","BTC","|ticker| crash"
"2018-06-06 04:02:00","18441.3","BTC","|ticker|"
"2018-06-06 04:02:00","0","BTC","|ticker| invest"
"2018-06-06 04:02:00","259.736","BTC","buy |ticker|"
"2018-06-06 04:02:00","0","BTC","sell |ticker|"
"2018-06-06 04:02:00","5714.2","BTC","|ticker| price"
"2018-06-06 04:02:00","0","BTC","|ticker| crash"
